Lulogooli,English,Category
Avandu vanyingi vamali kokora kuli vanyara kong'oda amakuva gi ivindu viekoleka hagati hiitu.,Many people have done their best to write a report of the things that have taken place among us.,Sentence
Vang'oda ivindu via kwavolerwa na yavo avaari avaloli va moni na moni vi vindu yivio kutura mulitanga.,They wrote what we have been told by those who saw these things from the beginning and who proclaimed the message.,Sentence
"Inzi kandi O, Wuluyali Zeofilo, mali mulihenzeriza ligali nokolohiza vindu yivi viosi kutura mulitanga.","And so, Your Excellency, because I have carefully studied all these matters from their beginning, I thought it would be good to write an orderly account for you.",Sentence
Ngoli ndio kunangwa uduuki kumanya agiligali gi ivindu viosi via wigizwa.,I do this so that you will know the full truth about everything which you have been taught.,Sentence
Mu madiku ga Herodi yaali Mwami Munene wi Vuyuda.,During the time when Herod was king of Judea.,Sentence
Yaali ho musaalisi mulala walangwa Zakaria.,There was a priest named Zechariah.,Sentence
Kutura ku avinyumba yu musaalisi Abija.,Who belonged to the priestly order of Abijah.,Sentence
Mukali weve yalangwa Sabeti.,His wife's name was Elizabeth.,Sentence
Yaali mulala ku avakaana vi kisukururwi chu Musaalisi Haruni.,She also belonged to a priestly family.,Sentence
Vosi vaali avalungi imbiri wa Nyasaye.,They both lived good lives in God's sight.,Sentence
Vatia ligali nokolonda malago na makuva gu Mwami vugira imbara.,They obeyed fully all the Lord's laws and commands.,Sentence
Navuzwa sivali numwana mba.,They had no children.,Sentence
Sabeti yaali umugumba.,Elizabeth could not have any (she was barren).,Sentence
Vosi vaali vahindira ligali.,They were both very old.,Sentence
Lidiku lilala Zakaria yaali naakoraa miyinzi ju vusaalisi imbiri wa Nyasaye.,One day Zechariah was doing his work as a priest in the Temple.,Sentence
Mu Litembeli kuli lilohiza lia vuli lidiku lialange.,Taking his turn in the daily service.,Sentence
Yatovolwa nikura kuli mwima gwu vusaalisi.,He was chosen by lot to burn incense.,Sentence
Kwingira mu Litembeli liu Mwami.,So he went into the Temple of the Lord.,Sentence
Asambe kimuli ku vwali.,To burn incense on the altar.,Sentence
Kiduma kenene chavandu vaali ni vasaala ichova ing'inga yukusaamba kimuli.,The crowd of people outside prayed during the hour when the incense was burned.,Sentence
Engelosi wu Mwami yaloleka kuye.,An angel of the Lord appeared to him.,Sentence
Nasingiyi ku mukono mulungi gwu vwali.,Standing at the right side of the altar.,Sentence
Olovega lwi kimuli chasambirwa.,Where the incense was burned.,Sentence
"Lwa Zakaria yamulola, yahenda mwoyo kandi naatia ligali.","When Zechariah saw him, he was alarmed and felt afraid.",Sentence
"Engelosi yamuvolera, Utatia mba, Zakaria.","But the angel said to him, Don't be afraid, Zechariah!",Sentence
Kigira Nyasaye ahuliyi lisaala liilio.,God has heard your prayer.,Sentence
Mukali woovo Sabeti alakwivulira mwana muyaayi.,Your wife Elizabeth will bear you a son.,Sentence
Ulamugulika Yohana.,You are to name him John.,Sentence
Ulakave nuvusangali kandi nuvuyanzi.,How glad and happy you will be.,Sentence
Avandu vanyingi valakasangala ku liivulwa lilie.,How happy many others will be when he is born!,Sentence
Alakave munene imbiri wu Mwami.,John will be great in the Lord's sight.,Sentence
Si alinwa iwaini anoho amalwa mba.,He must not drink any wine or strong drink.,Sentence
Aliizula Roho Mutakatifu kutura munda mwa mama weve.,From his very birth he will be filled with the Holy Spirit.,Sentence
Aliranyia avanyingi ku avandu va Isiraeli ku Mwami Nyasaye wavo.,He will bring back many of the people of Israel to the Lord their God.,Sentence
Alimiira imbiri wu Mwami weve nu mwoyo kandi ni zinguru.,"He will go ahead of the Lord, strong and mighty.",Sentence
Alakahambanyie avababa na avana vaavo kandi.,He will bring fathers and children together again.,Sentence
Alalomba avibaali na avatatiizaa Nyasaye vaganagane.,He will turn disobedient people back to the way of thinking of the righteous.,Sentence
Alaketegekiziri Mwami avandu veve.,He will get the Lord's people ready for him.,Sentence
"Zakaria yateeva Engelosi, Inzi ndamanya ndi amakuva yaga?","Zechariah said to the angel, How shall I know if this is so?",Sentence
Inzi mbeeye musakulu na mukali wange yakeera.,"I am an old man, and my wife is old also.",Sentence
Inzi mbeeye Gabirieli usingiraa imbiri wa Nyasaye.,"I am Gabriel, I stand in the presence of God.",Sentence
Ndumiywi komoloma na ivi.,I was sent to speak to you.,Sentence
Ngoletere makuva malahi yaga.,I bring you this good news.,Sentence
"Hulira, ulava idimbidi.","Behold, you will be silent (mute).",Sentence
"Siulamoloma mba, kuduuka lwayaga galakekoleke.",You will be unable to speak until the day these things happen.,Sentence
Kigira siwasuuvira makuva gange.,Because you have not believed my message.,Sentence
Avandu valindilira Zakaria.,In the meantime the people were waiting for Zechariah.,Sentence
Vagenya ku lilindagilira lilie mu Litembeli.,They wondered why he was spending such a long time in the Temple.,Sentence
"Lwa yatura ichova, siyaali anyala komoloma navo mba.","When he came out, he could not speak to them.",Sentence
Vamanya ndi aloli malola mu Litembeli.,They knew that he had seen a vision in the Temple.,Sentence
Yagelagela vuzwa makono ma namenya naveeye idimbidi.,"Unable to say a word, he made signs to them with his hands.",Sentence
Lwa yamala madiku geege guvutumiki mu Litembeli yirana yengo weve.,"When his period of service in the Temple was over, he went back home.",Sentence
"Inyima wa madiku yago, mukali weve, Sabeti yavereka.",Some time later his wife Elizabeth became pregnant.,Sentence
Yivisa munyumba ku mieli jitano.,She did not leave the house for five months.,Sentence
Kalunu Mwami amali kumanyia zimbavasi zizie ku inzi.,Now at last the Lord has helped me (shown mercy).,Sentence
Anduliziyi zisoni ziambezaa nazio imbiri wa vandu.,He has taken away my public disgrace!,Sentence
Mu mweli gwa sita Sabeti naveeye ninda.,In the sixth month Elizabeth was pregnant.,Sentence
Engelosi Gabirieli yatumwa na Nyasaye kuzia Nazareti.,God sent the angel Gabriel to Nazareth.,Sentence
Lidaala lia Galilaya.,A town in Galilee.,Sentence
"Yaali na makuva ku mukaana mugima, uwalangwa Maria.",To a young woman (virgin) named Mary.,Sentence
Uwaali niyateevwa koleetwa nu mundu mulala uwalangwa Josefu.,Who was promised in marriage to a man named Joseph.,Sentence
Wi kisukululwi cha Daudi.,A descendant of King David.,Sentence
"Engelosi yazia kuye namuvolera, Mirembe Maria!","The angel came to her and said, Peace be with you (Greetings Mary)!",Sentence
Ivi ugasiziywi ni zimbavasi zinyingi!,The Lord is with you and has greatly blessed you!,Sentence
Mwami aveeye harara na ivi.,The Lord is with you.,Sentence
"Lwa Maria yahulira amakuva yaga, yaahenda mwoyo ligali.",Mary was deeply troubled by the angel's message.,Sentence
Yaganagana mumwoyo ichi licheliza yili livoora!,She wondered what his words meant!,Sentence
"Engelosi yamuvolera, Utatia mba, Maria.","The angel said to her, Don't be afraid, Mary.",Sentence
Kigira Nyasaye akovereye zimbavasi.,God has been gracious to you.,Sentence
Henza! Ivi ulavereka na ulivuula mwana muyaayi.,Behold! You will become pregnant and give birth to a son.,Sentence
"Ulamugulika, Yeso.",You will name him Jesus.,Sentence
Alakave Munene kandi alakalangwe.,He will be great and will be called the Son.,Sentence
Muyaayi wa Nyasaye Oveeye igulu Ligali.,The Son of the Most High God.,Sentence
Mwami Nyasaye alakamukole alave Mwami kuli guuga weve Daudi.,"The Lord God will make him a king, as his ancestor David was.",Sentence
Alakamiihi ku avandu va Isiraeli mihiga ni mihiga.,He will be the king of the descendants of Jacob forever.,Sentence
Uvwami vwivwe sivulakave nekeheri mba.,His kingdom will never end!,Sentence
"Maria yateeva engelosi, Yaga galanyalika ndi?","Mary said to the angel, How can this be?",Sentence
Kigira inzi mbeeye mugima?,Since I am a virgin?,Sentence
Roho Mutakatifu alaza ku ivi.,The Holy Spirit will come on you.,Sentence
Zinguru zia Nyasaye oveeye igulu Ligali zilakukinga kuli kiriri.,The power of the Most High God will rest upon you.,Sentence
"Mwana wa ulivuula alakalangwe Mutakatifu, Mwana wa Nyasaye.",The holy child will be called the Son of God.,Sentence
"Umanye kali Sabeti mwiko woovo, umali kovereka mwana muyaayi.","Remember your relative Elizabeth, she is also pregnant with a son.",Sentence
Yigu nu mweli gwigwe gwa sita.,This is her sixth month.,Sentence
Wa vandu valanga mugumba.,Though she was called barren.,Sentence
"Kigira ku Nyasaye, si keveeye ho kindu ikitanyalikaa mba.",For there is nothing that God cannot do.,Sentence
Henza inzi mbeeye mutumikiri wu Mwami.,I am the Lord's servant.,Sentence
Gave ku inzi kuli aga ovooye.,May it happen to me as you have said.,Sentence
"Maria yetegeka, nalomba logendo kuzia vwangu.",Mary got ready and hurried off.,Sentence
Lidaala lilala liveeye muvigulu vie Vuyuda.,To a town in the hill country of Judea.,Sentence
"Yingira munyumba ya Zakaria, nacheliza Sabeti.",She went into Zechariah's house and greeted Elizabeth.,Sentence
"Lwa Sabeti yahulira licheliza lia Maria, mwana yakina nuvuyanzi munda mwimwe.","When Elizabeth heard Mary's greeting, the baby moved within her.",Sentence
Sabeti yizula Roho Mutakatifu.,Elizabeth was filled with the Holy Spirit.,Sentence
Yahanzuka numwoyo munene.,She cried out with a loud voice.,Sentence
Ivi ugasiziywi ligali hagati ha vakali vosi.,You are the most blessed of all women.,Sentence
Agasizwi umwana wa ivi ulivuula!,Blessed is the child you will bear!,Sentence
Inzi nivwaha kali mama wu Mwami wange yaaze ku inzi?,Why should the mother of my Lord come to visit me?,Sentence
"Lwa mbuliyi mwoyo gwi licheliza liilio, mwana akini munda mwange nuvuyanzi.","As soon as I heard your greeting, the baby jumped with gladness.",Sentence
Oveeye nuvugasu ivi uwa suuvira ndi.,How happy you are to believe the Lord.,Sentence
Mwoyo gwange gwizominyaa Mwami.,My heart praises the Lord.,Sentence
"Mwoyo gwange gusangali kigira nu Nyasaye, Muhonyi wange.",My soul is glad because of God my Savior.,Sentence
Kigira wizulizi Iiiva liu vwegehizi vwange.,"For he has remembered me, his lowly servant!",Sentence
Mukaana Mutumikiri weve!,I am his servant girl!,Sentence
"Kigira kutura kalunu amakura ga avandu vosi galananga, vuyanzi.",From now on all generations will call me blessed (happy).,Sentence
Kigira Nyasaye Wizingulu angoleeye vindu vinene.,For the Mighty God has done great things for me.,Sentence
Lieta lilie liveeye litakatifu.,His name is holy.,Sentence
Zimbavasi zizie ziveeye ku makura namakura.,His mercy is from generation to generation.,Sentence
Ku avandu vahaana luyali kuye.,To those who honor (fear) him.,Sentence
Akoli vindu vie zinguru nu mukono gwigwe.,He has performed mighty deeds with his arm.,Sentence
Usalanyi avigingiri mu zing'anagani zie mioyo jaavo.,He has scattered the proud in their own plans.,Sentence
Waguluyi avami vizingulu kutura ku zindeve ziavo ziu vwami.,He has brought down mighty kings from their thrones.,Sentence
Navuzwa onenehizi avakeekeke.,But he has lifted up the lowly.,Sentence
Wigutizi avinzara ni vindu vilahi.,He has filled the hungry with good things.,Sentence
"O, uvukungi avatugi amakono vugira kindu.",He sent the rich away with empty hands.,Sentence
Vaduukiza lilagana lia yalagana na vaguuga.,He has kept the promise he made to our ancestors.,Sentence
Umali kuza kokonya mutumikiri weve Isiraeli.,He has come to the help of his servant Israel.,Sentence
Umali kwizuliza kumanyia zimbavasi.,He has remembered to show mercy.,Sentence
Ku Aburahamu ni visukululwi vivie mihiga ni mihiga!,To Abraham and his descendants forever!,Sentence
Maria yamenya na Sabeti ku ing'inga iduuka imieli jivaga.,Mary stayed about three months with Elizabeth.,Sentence
Ing'inga ya Sabeti yu kwivura yaduuka.,The time came for Elizabeth to have her baby.,Sentence
"Vaza kokeva mwana, ni venya ku mugulika Zakaria.",They came to circumcise him and name him Zechariah.,Sentence
Lieta lia baba weve.,The name of his father.,Sentence
Awa! Alalaangwa Yohana.,No! His name is to be John.,Sentence
Simuveeye nu mwiko ulangwa lieta yili mba?,Is there no relative with that name?,Sentence
Vagelera baba weve amakono ni vamuteeva lieta liagulika mwana weve.,They made signs to his father to ask what the name should be.,Sentence
Lieta lilie ni Yohana.,His name is John.,Sentence
Munwa gwa Zakaria gwigulika nululimi lwilwe lwanguha.,Immediately Zechariah was able to speak again.,Sentence
Uvuti vwali ku avatende vosi.,Fear came upon all the neighbors.,Sentence
Makuva yaga galandizwa mu kivala choosi chu muvigulu Ivuyuda.,This news spread through all the hill country of Judea.,Sentence
Mwana uyu aliva mundu wa lugano ki?,What then will this child be?,Sentence
"Zakaria, baba wu mwana, yizula Roho Mutakatifu na yaporofeta.","Zechariah, the father, was filled with the Holy Spirit and prophesied.",Sentence
Agasizwi Mwami Nyasaye wa Isiraeli.,"Praise the Lord, the God of Israel.",Sentence
Umali kogeniha kandi ohonyi avandu veve.,He has come to the help of his people and set them free.,Sentence
Okoheeye muhonyi wi zinguru kutura mukisukululwi cha Daudi.,He has provided a mighty Savior from the house of David.,Sentence
Alakohonyia kutura ku avasigu viitu.,He will save us from our enemies.,Sentence
Alaveera avaguuga viitu zimbavasi.,He shows mercy to our ancestors.,Sentence
Liesuuha lia yisuhira Aburahamu guuga wiitu.,The oath which he swore to our ancestor Abraham.,Sentence
Alakuha kuduuki kohonywa.,To grant us rescue from our enemies.,Sentence
Kokosola kutura ku avasigu viitu.,To deliver us from the hands of our enemies.,Sentence
Kuduuki kumutumikira vugira vuti.,To serve him without fear.,Sentence
Kuva avatakatifu kandi avalungi imbiri weve.,To be holy and righteous in his sight.,Sentence
Ulalangwa muporofeti wa Nyasaye Oveeye igulu Ligali.,"You, my child, will be called a prophet of the Most High.",Sentence
Ulazia imbiri wu Mwami kumulombera zinzira zizie.,You will go before the Lord to prepare his way.,Sentence
Valahonywa kandi valasamifwa vwoni vwavo.,His people will know they are saved by the forgiveness of sins.,Sentence
Nyasaye wiitu aveeye wi zimbavasi kandi umulahi.,Our God is merciful and tender.,Sentence
Alalomba vulavu vwovohonyi vwake ku kunyi kutura mwigulu.,He causes the light from heaven to shine on us.,Sentence
Kwimilira virenge vietu munzira yi mirembe.,To guide our steps into the path of peace.,Sentence
"Mwana yaviruka, nanyoora zinguru mu Roho.",The child grew and became strong in spirit.,Sentence
Mwami,Lord,Word
Nyasaye,God,Word
Mwana,Child,Word
Muyaayi,Son,Word
Mukaana,Girl/Woman,Word
Mukali,Wife,Word
Baba,Father,Word
Mama,Mother,Word
Mirembe,Peace,Word
Zimbavasi,Mercy,Word
Vuyanzi,Joy,Word
Mwoyo,Heart/Soul,Word
Lieta,Name,Word
Lidaala,Town,Word
Inyima,After,Word
Kalunu,Now,Word
Hulira,Listen,Word
Henza,Look,Word
Inzi,I/Me,Word
Ivi,You,Word
Vosi,All,Word
Vanyingi,Many,Word
Lidiku,Day,Word
Mweli,Month,Word
Mihiga,Years,Word
Zinguru,Power/Strength,Word
Lulimi,Tongue,Word
Makono,Hands,Word
Virenge,Feet,Word
Nyamu,Animal,Word
Kivala,World/Land,Word
Mwigulu,Heaven,Word
Kisundi,Darkness,Word
Vulavu,Light,Word
Mutakatifu,Holy,Word
Mulungi,Good/Righteous,Word
Munene,Great/Big,Word
Musakulu,Old man,Word
Mugumba,Barren,Word
Ninda,Pregnant,Word
Engelosi,Angel,Word
Muporofeti,Prophet,Word
Musaalisi,Priest,Word
Litembeli,Temple,Word
Lisaala,Prayer,Word
Vusuviri,Faith/Belief,Word
Vwoni,Sin,Word
Muhonyi,Savior,Word
imbiri wa Nyasaye,in the sight of God,Phrase
munda mwa mama,in the mother's womb,Phrase
kutura mulitanga,from the beginning,Phrase
mu mweli gwa sita,in the sixth month,Phrase
mukaana mugima,young woman / virgin,Phrase
mwana muyaayi,male child / son,Phrase
Mwami Munene,Great Lord / King,Phrase
avandu vanyingi,many people,Phrase
makuva malahi,good news,Phrase
Roho Mutakatifu,Holy Spirit,Phrase
lidaala lia Galilaya,town of Galilee,Phrase
kisukululwi cha Daudi,descendant of David,Phrase
mirembe kuli ivi,peace be to you,Phrase
zimbavasi zizie,his mercies,Phrase
mwoyo gwange,my heart,Phrase
muvigulu vie Vuyuda,hill country of Judea,Phrase
nyumba ya Zakaria,house of Zechariah,Phrase
lieta lilie,his name,Phrase
lieta lia baba,the father's name,Phrase
munzira yi mirembe,in the path of peace,Phrase
kutura mwigulu,from heaven,Phrase
madiku goosi,all days,Phrase
mu vaporofeti,through the prophets,Phrase
avasigu viitu,our enemies,Phrase
vugira vuti,without fear,Phrase
vwegehizi vwange,my lowliness,Phrase
kutura kalunu,from now on,Phrase
makura na makura,generation to generation,Phrase
viringi mu zing'anagani,proud in thoughts,Phrase
wigutizi avinzara,filled the hungry,Phrase
avatugi amakono,rich hands,Phrase
mutumikiri weve,his servant,Phrase
mweli gwa sita,sixth month,Phrase
vuyanzi vunene,great joy,Phrase
si keveeye ho kindu,there is no thing,Phrase
ga ve ku inzi,be it to me,Phrase
mwa mama weve,of his mother,Phrase
mwa baba weve,of his father,Phrase
maku lidiku,on the day,Phrase
munwa gwigulika,mouth opened,Phrase
ulalawa muporofeti,you will be called prophet,Phrase
muhonyi wi zinguru,mighty savior,Phrase
lilagana litakatifu,holy covenant,Phrase
luyali kuye,honor to him,Phrase
vwoni vwavo,their sins,Phrase
vulavu vwovohonyi,light of salvation,Phrase
chiriri chilikuza,shadow of death,Phrase
mwigendanyama,in the wilderness,Phrase
mirembe Maria,Peace Mary,Phrase
Utatia mba,Do not fear,Phrase
Zakaria weve,Zakaria his/her,Possessive
Zakaria woovo,Zakaria your,Possessive
Zakaria wange,Zakaria my,Possessive
Zakaria viitu,Zakaria our,Possessive
Zakaria vavo,Zakaria their,Possessive
Sabeti weve,Sabeti his/her,Possessive
Sabeti woovo,Sabeti your,Possessive
Sabeti wange,Sabeti my,Possessive
Sabeti viitu,Sabeti our,Possessive
Sabeti vavo,Sabeti their,Possessive
Maria weve,Maria his/her,Possessive
Maria woovo,Maria your,Possessive
Maria wange,Maria my,Possessive
Maria viitu,Maria our,Possessive
Maria vavo,Maria their,Possessive
Yohana weve,Yohana his/her,Possessive
Yohana woovo,Yohana your,Possessive
Yohana wange,Yohana my,Possessive
Yohana viitu,Yohana our,Possessive
Yohana vavo,Yohana their,Possessive
Yeso weve,Yeso his/her,Possessive
Yeso woovo,Yeso your,Possessive
Yeso wange,Yeso my,Possessive
Yeso viitu,Yeso our,Possessive
Yeso vavo,Yeso their,Possessive
Aburahamu weve,Aburahamu his/her,Possessive
Aburahamu woovo,Aburahamu your,Possessive
Aburahamu wange,Aburahamu my,Possessive
Aburahamu viitu,Aburahamu our,Possessive
Aburahamu vavo,Aburahamu their,Possessive
Daudi weve,Daudi his/her,Possessive
Daudi woovo,Daudi your,Possessive
Daudi wange,Daudi my,Possessive
Daudi viitu,Daudi our,Possessive
Daudi vavo,Daudi their,Possessive
Gabirieli weve,Gabirieli his/her,Possessive
Gabirieli woovo,Gabirieli your,Possessive
Gabirieli wange,Gabirieli my,Possessive
Gabirieli viitu,Gabirieli our,Possessive
Gabirieli vavo,Gabirieli their,Possessive
yavoola,said,Verb
yateeva,asked,Verb
yahulira,heard,Verb
yamala,finished,Verb
yirana,returned,Verb
mulala,1,Number
vavaga,2,Number
vataru,3,Number
vane,4,Number
vataru,5,Number
mieli sita,6,Number
mieli jivaga,7,Number
mieli jitano,8,Number
Mwoyo gwange gwizominyaa Mwami.,My heart praises the Lord.,Sentence
"Mwoyo gwange gusangali kigira nu Nyasaye, Muhonyi wange.",My soul is glad because of God my Savior.,Sentence
Avandu vanyingi vamali kokora kuli vanyara kong'oda amakuva gi ivindu viekoleka hagati hiitu.,Many people have done their best to write a report of the things that have taken place among us.,Sentence
Vang'oda ivindu via kwavolerwa na yavo avaari avaloli va moni na moni vi vindu yivio kutura mulitanga.,They wrote what we have been told by those who saw these things from the beginning and who proclaimed the message.,Sentence
"Inzi kandi O, Wuluyali Zeofilo, mali mulihenzeriza ligali nokolohiza vindu yivi viosi kutura mulitanga.","And so, Your Excellency, because I have carefully studied all these matters from their beginning, I thought it would be good to write an orderly account for you.",Sentence
Ngoli ndio kunangwa uduuki kumanya agiligali gi ivindu viosi via wigizwa.,I do this so that you will know the full truth about everything which you have been taught.,Sentence
Mu madiku ga Herodi yaali Mwami Munene wi Vuyuda.,During the time when Herod was king of Judea.,Sentence
Yaali ho musaalisi mulala walangwa Zakaria.,There was a priest named Zechariah.,Sentence
Kutura ku avinyumba yu musaalisi Abija.,Who belonged to the priestly order of Abijah.,Sentence
